Request Time,Model Name,Input Length,Output Length
00:00:00.026,synth_model_02,93,233
00:00:00.341,synth_model_07,918,941
00:00:00.349,synth_model_08,1050,339
00:00:00.415,synth_model_05,1201,342
00:00:00.562,synth_model_12,1576,201
00:00:00.876,synth_model_03,1380,49
00:00:00.957,synth_model_12,25,435
00:00:01.103,synth_model_05,12,126
00:00:01.359,synth_model_00,619,503
00:00:01.491,synth_model_01,399,125
00:00:01.628,synth_model_08,1004,90
00:00:01.703,synth_model_01,4,90
00:00:02.115,synth_model_05,8,126
00:00:02.125,synth_model_06,1571,16
00:00:02.160,synth_model_07,1448,16
00:00:02.382,synth_model_14,95,264
00:00:03.193,synth_model_09,1665,84
00:00:03.345,synth_model_04,120,59
00:00:03.399,synth_model_00,1301,130
00:00:03.406,synth_model_08,1287,879
00:00:03.438,synth_model_00,4,84
00:00:03.443,synth_model_00,51,312
00:00:03.513,synth_model_10,82,171
00:00:03.607,synth_model_11,776,778
00:00:03.684,synth_model_10,1530,213
00:00:03.696,synth_model_07,977,352
00:00:03.731,synth_model_13,1525,62
00:00:03.738,synth_model_04,475,253
00:00:03.773,synth_model_05,18,113
00:00:04.064,synth_model_11,405,170
00:00:04.120,synth_model_10,1537,284
00:00:04.481,synth_model_03,10,146
00:00:04.543,synth_model_00,545,538
00:00:04.627,synth_model_15,1321,142
00:00:04.769,synth_model_14,489,191
00:00:04.796,synth_model_07,1070,522
00:00:04.852,synth_model_04,1280,459
00:00:04.983,synth_model_05,1752,182
00:00:04.997,synth_model_01,793,256
00:00:05.016,synth_model_13,735,390
00:00:05.043,synth_model_06,987,330
00:00:05.446,synth_model_08,459,403
00:00:05.491,synth_model_02,1300,310
00:00:05.692,synth_model_13,1240,382
00:00:05.712,synth_model_13,1244,29
00:00:05.762,synth_model_05,1962,351
00:00:05.827,synth_model_11,1128,821
00:00:05.883,synth_model_10,866,534
00:00:06.135,synth_model_07,7,694
00:00:06.428,synth_model_12,281,241
00:00:06.576,synth_model_07,40,476
00:00:06.688,synth_model_13,689,250
00:00:06.715,synth_model_03,499,244
00:00:06.724,synth_model_08,1465,244
00:00:06.906,synth_model_14,416,335
00:00:06.976,synth_model_09,132,96
00:00:07.083,synth_model_11,14,57
00:00:07.134,synth_model_15,1292,16
00:00:07.347,synth_model_03,1551,126
00:00:07.366,synth_model_05,326,474
00:00:07.514,synth_model_12,431,337
00:00:07.572,synth_model_15,282,123
00:00:07.574,synth_model_07,319,44
00:00:07.682,synth_model_15,1023,22
00:00:07.803,synth_model_00,633,162
00:00:08.128,synth_model_12,979,248
00:00:08.343,synth_model_15,151,147
00:00:08.401,synth_model_05,34,555
00:00:08.462,synth_model_03,749,223
00:00:08.832,synth_model_13,144,438
00:00:09.118,synth_model_03,12,177
00:00:09.150,synth_model_00,5,227
00:00:09.168,synth_model_12,1326,332
00:00:09.416,synth_model_10,1048,252
00:00:09.469,synth_model_06,530,294
00:00:09.556,synth_model_01,401,346
00:00:09.666,synth_model_02,804,301
00:00:09.698,synth_model_03,1599,38
00:00:10.333,synth_model_13,832,816
00:00:10.442,synth_model_05,928,167
00:00:10.660,synth_model_01,1422,64
00:00:10.661,synth_model_00,223,23
00:00:11.570,synth_model_05,2332,420
00:00:11.700,synth_model_07,1453,281
00:00:11.725,synth_model_07,1501,230
00:00:11.957,synth_model_07,1546,62
00:00:12.145,synth_model_08,332,181
00:00:12.247,synth_model_03,50,328
00:00:12.333,synth_model_07,2,436
00:00:12.349,synth_model_09,84,146
00:00:12.508,synth_model_11,968,251
00:00:12.638,synth_model_15,4,35
00:00:12.812,synth_model_08,920,282
00:00:13.008,synth_model_04,732,45
00:00:13.231,synth_model_06,1608,294
00:00:13.504,synth_model_14,1070,17
00:00:13.638,synth_model_12,9,250
00:00:14.116,synth_model_10,75,104
00:00:14.159,synth_model_04,647,759
00:00:14.306,synth_model_11,207,121
00:00:14.466,synth_model_07,793,185
00:00:14.691,synth_model_10,1321,478
00:00:14.804,synth_model_08,1195,488
00:00:15.114,synth_model_10,1530,317
00:00:15.360,synth_model_08,392,481
00:00:15.452,synth_model_12,48,81
00:00:15.569,synth_model_03,284,290
00:00:15.591,synth_model_03,35,32
00:00:15.911,synth_model_15,637,208
00:00:15.916,synth_model_09,14,354
00:00:15.942,synth_model_06,863,832
00:00:16.164,synth_model_05,9,22
00:00:16.295,synth_model_00,985,298
00:00:16.354,synth_model_07,305,341
00:00:16.466,synth_model_11,823,16
00:00:16.500,synth_model_05,1391,354
00:00:16.513,synth_model_08,2,16
00:00:16.556,synth_model_08,77,26
00:00:16.656,synth_model_04,1503,321
00:00:16.768,synth_model_08,218,422
00:00:16.985,synth_model_01,1952,768
00:00:17.201,synth_model_01,682,274
00:00:17.271,synth_model_11,753,243
00:00:17.275,synth_model_02,8,78
00:00:17.341,synth_model_15,912,37
00:00:17.367,synth_model_02,645,623
00:00:17.460,synth_model_07,1098,369
00:00:17.593,synth_model_10,14,417
00:00:17.651,synth_model_13,175,25
00:00:17.760,synth_model_01,6,213
00:00:17.840,synth_model_07,1504,511
00:00:17.879,synth_model_07,1064,110
00:00:17.919,synth_model_11,867,761
00:00:17.998,synth_model_04,185,327
00:00:18.015,synth_model_09,438,306
00:00:18.165,synth_model_12,12,172
00:00:18.354,synth_model_01,1503,212
00:00:18.828,synth_model_13,522,79
00:00:18.828,synth_model_15,252,212
00:00:18.904,synth_model_06,53,335
00:00:19.200,synth_model_04,962,360
00:00:19.384,synth_model_13,1530,53
00:00:19.539,synth_model_09,441,335
00:00:19.620,synth_model_14,1150,379
00:00:19.622,synth_model_05,65,298
00:00:19.816,synth_model_15,1026,23
00:00:19.881,synth_model_01,388,76
00:00:19.924,synth_model_12,1656,400
00:00:19.936,synth_model_15,1179,259
00:00:19.965,synth_model_09,1742,254
00:00:20.051,synth_model_03,657,550
00:00:20.160,synth_model_04,859,33
00:00:20.273,synth_model_11,763,676
00:00:20.279,synth_model_07,13,386
00:00:20.295,synth_model_14,1689,491
00:00:20.349,synth_model_12,1137,769
00:00:20.636,synth_model_10,635,169
00:00:20.853,synth_model_12,920,266
00:00:21.133,synth_model_07,2389,992
00:00:21.184,synth_model_06,26,266
